N,P,K,ph,temperature,humidity,rainfall,label,encoded_label
90,42,43,0.4662636371578488,20.87974371,82.00274423,202.9355362,rice,21
85,58,41,0.5494802634661211,21.77046169,80.31964408,226.6555374,rice,21
60,55,44,0.6742187657204011,23.00445915,82.3207629,263.9642476,rice,21
74,35,40,0.5405078809463393,26.49109635,80.15836264,242.8640342,rice,21
78,42,42,0.6412913769420499,20.13017482,81.60487287,262.7173405,rice,21
69,37,42,0.5549787519923273,23.05804872,83.37011772,251.0549998,rice,21
69,55,38,0.3415144311123298,22.70883798,82.63941394,271.3248604,rice,21
94,53,40,0.3442859023549095,20.27774362,82.89408619,241.9741949,rice,21
89,54,38,0.49462312933422425,24.51588066,83.5352163,230.4462359,rice,21
68,58,38,0.44033471146007563,23.22397386,83.03322691,221.2091958,rice,21
91,53,40,0.2925842082150222,26.52723513,81.41753846,264.6148697,rice,21
90,46,42,0.6217529136650028,23.97898217,81.45061596,250.0832336,rice,21
78,58,44,0.24943158014966904,26.80079604,80.88684822,284.4364567,rice,21
93,56,36,0.5411225849858909,24.01497622,82.05687182,185.2773389,rice,21
94,50,37,0.5354722089637529,25.66585205,80.66385045,209.5869708,rice,21
60,48,39,0.5501338383992136,24.28209415,80.30025587,231.0863347,rice,21
85,38,41,0.4267735482119608,21.58711777,82.7883708,276.6552459,rice,21
91,35,39,0.5390241097382393,23.79391957,80.41817957,206.2611855,rice,21
77,38,36,0.3808790149995738,21.8652524,80.1923008,224.5550169,rice,21
88,35,40,0.36532754794907196,23.57943626,83.58760316,291.2986618,rice,21
89,45,36,0.4568535698977121,21.32504158,80.47476396,185.4974732,rice,21
76,40,43,0.24344338535976673,25.15745531,83.11713476,231.3843163,rice,21
67,59,41,0.3900075104538634,21.94766735,80.97384195,213.3560921,rice,21
83,41,43,0.4275476591028611,21.0525355,82.67839517,233.1075816,rice,21
98,47,37,0.6019481847749768,23.48381344,81.33265073,224.0581164,rice,21
66,53,41,0.6646870760899621,25.0756354,80.52389148,257.0038865,rice,21
97,59,43,0.43259742832172576,26.35927159,84.04403589,271.3586137,rice,21
97,50,41,0.5545909795550641,24.52922681,80.54498576,260.2634026,rice,21
60,49,44,0.42611896913265035,20.77576147,84.49774397,240.0810647,rice,21
84,51,35,0.3947774472776674,22.30157427,80.64416466,197.9791215,rice,21
73,57,41,0.3607830028397062,21.44653958,84.94375962,272.2017204,rice,21
92,35,40,0.4436216054977843,22.17931888,80.33127223,200.0882787,rice,21
85,37,39,0.44467063302380316,24.52783742,82.73685569,224.6757231,rice,21
98,53,38,0.23478623648226982,20.26707606,81.63895217,270.4417274,rice,21
88,54,44,0.4112782447685098,25.7354293,83.88266234,233.1321372,rice,21
95,55,42,0.3803700651141593,26.79533926,82.1480873,193.3473987,rice,21
99,57,35,0.38188001752597023,26.75754171,81.17734011,272.2999056,rice,21
95,39,36,0.3198348508194596,23.86330467,83.15250801,285.2493645,rice,21
